CombinID,Player,Position,Height,Date_birth,Nationality,Website_player,Website_picture
30000046,J. Loyd,Escolta,"1,93",27/07/1993,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000046,http://static.acb.com/img/34/4d/b/157050pre7404.jpg
20210088,A. Abalde,Alero,"2,02",15/12/1995,España,http://www.acb.com/jugador/temporada-a-temporada/id/20210088,http://static.acb.com/img/www/jugadores2021/RS311016_alt_40899.jpg
20213002,L. Labeyrie,Ala-pivot,"2,08",11/02/1992,Francia,http://www.acb.com/jugador/temporada-a-temporada/id/20213002,http://static.acb.com/img/18/3e/3b/292597pre35710.jpg
20204111,S. Van Rossom,Base,"1,88",03/06/1986,Bélgica,http://www.acb.com/jugador/temporada-a-temporada/id/20204111,http://static.acb.com/img/56/c/5a/292843pre35656.jpg
20212399,M. Tobey,Pivot,"2,13",10/10/1994,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20212399,http://static.acb.com/img/9/29/1a/292699pre35716.jpg
30000043,B. Motum,Ala-pivot,"2,08",16/10/1990,Australia,http://www.acb.com/jugador/temporada-a-temporada/id/30000043,http://static.acb.com/img/13/e/1e/156858pre7413.jpg
20210254,B. Dubljevic,Pivot,"2,05",24/10/1991,Montenegro,http://www.acb.com/jugador/temporada-a-temporada/id/20210254,http://static.acb.com/img/c/49/2/292192pre35630.jpg
20204158,G. Vives,Base,"1,92",16/06/1993,España,http://www.acb.com/jugador/temporada-a-temporada/id/20204158,http://static.acb.com/img/3f/21/3a/292354pre35662.jpg
20200613,F. San Emeterio,Alero,"1,99",01/01/1984,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200613,http://static.acb.com/img/5b/2e/5/292312pre35698.jpg
20203882,J. Sastre,Alero,"2,01",10/12/1991,España,http://www.acb.com/jugador/temporada-a-temporada/id/20203882,http://static.acb.com/img/29/34/40/292480pre35686.jpg
20212189,A. Doornekamp,Ala-pivot,"2,01",05/12/1985,Canadá,http://www.acb.com/jugador/temporada-a-temporada/id/20212189,http://static.acb.com/img/17/47/14/284704pre34903.jpg
30000053,T. Pérez,Ala-pivot,"2,02",29/01/1996,RepúblicaDominicana,http://www.acb.com/jugador/temporada-a-temporada/id/30000053,http://static.acb.com/img/10/5a/0/149371pre6003.jpg
30000055,B. Sy,Ala-pivot,"2,04",30/07/1990,Francia,http://www.acb.com/jugador/temporada-a-temporada/id/30000055,http://static.acb.com/img/30/3b/3e/277783pre33688.jpg
20203810,I. Llovet,Ala-pivot,"2,02",09/05/1991,España,http://www.acb.com/jugador/temporada-a-temporada/id/20203810,http://static.acb.com/img/5d/35/3/149290pre6012.jpg
30000050,F. Massenat,Escolta,"1,93",17/01/1992,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000050,http://static.acb.com/img/www/jugadores2021/RS360303_alt_54945.jpg
20211327,C. Hannah,Base,"1,79",15/11/1987,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20211327,http://static.acb.com/img/e/45/5/277819pre33652.jpg
20210404,D. Todorovic,Alero,"1,96",29/05/1994,BosniaH.,http://www.acb.com/jugador/temporada-a-temporada/id/20210404,http://static.acb.com/img/23/2c/10/148942pre6033.jpg
20210278,M. Diagné,Pivot,"2,11",06/03/1994,Senegal,http://www.acb.com/jugador/temporada-a-temporada/id/20210278,http://static.acb.com/img/1e/16/4c/149260pre6042.jpg
20212227,D. Walker,Alero,"1,97",24/11/1993,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20212227,http://static.acb.com/img/16/51/1e/148825pre6045.jpg
20211282,G. Colom,Base,"1,95",16/09/1991,Andorra,http://www.acb.com/jugador/temporada-a-temporada/id/20211282,http://static.acb.com/img/26/32/2e/277981pre33670.jpg
20203834,D. Jelinek,Alero,"1,94",07/09/1990,Rep.Checa,http://www.acb.com/jugador/temporada-a-temporada/id/20203834,http://static.acb.com/img/37/5e/49/277888pre33682.jpg
30000054,J. Senglin,Escolta,"1,88",24/03/1995,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000054,http://static.acb.com/img/a/45/1b/278074pre33676.jpg
20204132,D. Musli,Pivot,"2,13",03/01/1991,Serbia,http://www.acb.com/jugador/temporada-a-temporada/id/20204132,http://static.acb.com/img/33/32/60/148873pre6069.jpg
20212243,A. Balcerowski,Pivot,"2,16",19/11/2000,Polonia,http://www.acb.com/jugador/temporada-a-temporada/id/20212243,http://static.acb.com/img/14/34/46/282208pre34665.jpg
20212966,S. Okoye,Alero,"1,98",10/04/1991,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20212966,http://static.acb.com/img/4d/1/4e/282289pre34605.jpg
20201919,I. Bourousis,Pivot,"2,10",17/11/1983,Grecia,http://www.acb.com/jugador/temporada-a-temporada/id/20201919,http://static.acb.com/img/49/1a/31/162714pre7928.jpg
20202070,O. Cook,Base,"1,87",28/01/1982,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20202070,http://static.acb.com/img/21/13/15/293440pre36112.jpg
20210670,J. Shurna,Pivot,"2,04",30/04/1990,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20210670,http://static.acb.com/img/2/21/45/282055pre34647.jpg
20204130,F. Santana,Base,"1,90",09/06/1992,España,http://www.acb.com/jugador/temporada-a-temporada/id/20204130,http://static.acb.com/img/42/1c/5e/281857pre34623.jpg
20209098,O. Paulí,Alero,"2,01",20/05/1994,España,http://www.acb.com/jugador/temporada-a-temporada/id/20209098,http://static.acb.com/img/57/d/47/278272pre33700.jpg
20203590,X. Rabaseda,Alero,"1,96",24/02/1989,España,http://www.acb.com/jugador/temporada-a-temporada/id/20203590,http://static.acb.com/img/c/18/32/293596pre36139.jpg
20204145,B. Burjanadze,Ala-pivot,"2,01",03/01/1994,Georgia,http://www.acb.com/jugador/temporada-a-temporada/id/20204145,http://static.acb.com/img/1e/24/47/153684pre6975.jpg
30000032,M. Costello,Pivot,"2,08",05/08/1993,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000032,http://static.acb.com/img/25/54/57/282154pre34653.jpg
20201904,J. Beirán,Alero,"2,00",22/05/1987,España,http://www.acb.com/jugador/temporada-a-temporada/id/20201904,http://static.acb.com/img/12/42/b/281974pre34635.jpg
30000033,D. Harper,Escolta,"1,93",21/06/1989,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000033,http://static.acb.com/img/43/4b/35/153735pre6969.jpg
20212976,J. Justiz,Pivot,"2,10",18/09/1992,Cuba,http://www.acb.com/jugador/temporada-a-temporada/id/20212976,http://static.acb.com/img/53/52/1/281008pre34543.jpg
20200191,J. Barreiro,Alero,"2,03",16/01/1997,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200191,http://static.acb.com/img/25/3b/55/281065pre34537.jpg
20211602,D. Seeley,Escolta,"1,93",28/11/1989,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20211602,http://static.acb.com/img/54/57/38/151731pre6792.jpg
20212648,N. Brussino,Alero,"2,05",02/03/1993,Argentina,http://www.acb.com/jugador/temporada-a-temporada/id/20212648,http://static.acb.com/img/4c/36/2d/281122pre34531.jpg
20211263,N. Radovic,Ala-pivot,"2,08",11/11/1991,Montenegro,http://www.acb.com/jugador/temporada-a-temporada/id/20211263,http://static.acb.com/img/5f/2e/12/288934pre35836.jpg
20210357,C. Alocén,Base,"1,94",30/12/2000,España,http://www.acb.com/jugador/temporada-a-temporada/id/20210357,http://static.acb.com/img/www/jugadores2021/RS311199_alt_40917.jpg
20200648,F. Vázquez,Pivot,"2,09",01/05/1983,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200648,http://static.acb.com/img/12/12/1f/151794pre6822.jpg
20211653,R. Benzing,Alero,"2,08",25/01/1989,Alemania,http://www.acb.com/jugador/temporada-a-temporada/id/20211653,http://static.acb.com/img/3f/53/2d/281248pre34519.jpg
20201800,R. San Miguel,Base,"1,86",21/01/1985,España,http://www.acb.com/jugador/temporada-a-temporada/id/20201800,http://static.acb.com/img/1b/31/3d/281293pre34513.jpg
20211133,V. Krejci,Base,"2,02",19/06/2000,Rep.Checa,http://www.acb.com/jugador/temporada-a-temporada/id/20211133,http://static.acb.com/img/5b/23/3c/152388pre6855.jpg
20212461,T. Hlinason,Pivot,"2,15",28/10/1997,Islandia,http://www.acb.com/jugador/temporada-a-temporada/id/20212461,http://static.acb.com/img/17/50/39/281395pre34501.jpg
